# 性幻想预设模板
# 格式：名称|描述

[场景幻想]
海边度假|在海边度假时的浪漫幻想
身份揭秘|身份揭开的惊喜
命运之约|命中注定的相遇
时光倒流|回到过去的幻想
平行世界|另一个世界的相遇
梦中情人|梦中的完美对象
灵魂伴侣|心灵相通的伴侣
命中注定|宿命般的相遇
前世今生|跨越时空的爱恋
童话成真|童话故事的延续
浪漫逃离|一起逃离世俗
私奔|勇敢追求爱情
私定终身|非你不嫁的誓言
海誓山盟|永恒的承诺
至死不渝|生死相随的深情

[类型幻想]
浪漫温情|温柔浪漫的幻想
激情热烈|热情奔放的幻想
禁忌刺激|禁忌题材的幻想
师生恋|师生情感幻想
医患情|医患关系幻想
办公室恋情|职场恋情幻想
上司下属|权力关系幻想
明星粉丝|明星与粉丝幻想
青梅竹马|两小无猜幻想
异地恋|远距离恋爱幻想
闪婚|冲动结婚幻想
试婚|尝试同居幻想
离婚后再|离婚后复合幻想
年龄差|年龄差距幻想
身份悬殊|身份差距幻想
门当户对|传统婚恋幻想
父母反对|克服阻碍幻想
三角恋|情感纠葛幻想
暗恋成真|单恋成功幻想
一夜情|短暂激情幻想
419|419幻想
约炮|约炮幻想
炮友转正|朋友变情人
网恋奔现|网络到现实
暗恋|单相思幻想
倒追|主动追求幻想
追妻火葬场|追妻艰难过程
先婚后爱|结婚后产生感情
契约恋爱|假恋爱真感情
商业联姻|联姻产生真情
娃娃亲|指腹为婚幻想
童养媳|童养媳幻想
冥婚|冥婚幻想
人鬼恋|人与鬼魂幻想
仙凡恋|仙人与凡人幻想
人妖恋|人与妖怪幻想
兽兽恋|人与兽族幻想
跨种族|不同种族幻想
星际恋|星际种族幻想
未来世界|科幻恋爱幻想
末世恋|末日生存幻想
重生|重生相遇幻想
穿越|穿越时空幻想
快穿|快穿恋爱幻想
系统|系统任务幻想
攻略|攻略目标幻想
救赎|互相救赎幻想
治愈|温暖治愈幻想
相互治愈|彼此疗愈幻想
养成|养成系幻想
年上年下|年龄差异幻想
大叔|成熟男性幻想
小鲜肉|年轻男性幻想
御姐|成熟女性幻想
少女|年轻女性幻想

[姿势幻想]
观音坐莲|女上位幻想
骑乘|女上位主动幻想
侧入|侧卧体位幻想
后入|后入体位幻想
69|相互口交幻想
站立|站立式幻想
坐姿|坐姿体位幻想
骑乘面对面|面对面女上位
骑乘背对面|背对面上位
骑乘侧骑|侧骑体位
骑乘后骑|后骑体位
骑乘旋转|旋转女上位
面对面|正面相对幻想
背对面|背对体位幻想
火车便当|火车便当式
站立后入|站立后入式
站立侧入|站立侧入式
壁咚|壁咚幻想
门咚|门咚幻想
床咚|床咚幻想
沙发咚|沙发咚幻想
椅子咚|椅子咚幻想
推倒|推倒幻想
壁床|床笫之欢
壁炉|壁炉旁的激情
窗边|窗边风景
阳台|阳台激情
厨房|厨房激情
餐桌|餐桌激情
楼梯|楼梯激情
浴室|浴室激情
泳池|泳池激情
书房|书房激情
飘窗|飘窗浪漫
吊床|吊床浪漫
摇篮|摇篮浪漫
椅子|椅子幻想
桌子|桌子幻想
沙发|沙发幻想
地毯|地毯幻想

[氛围幻想]
烛光晚餐|烛光下的浪漫
月光如水|月光下的浪漫
星光灿烂|星空下的浪漫
日出东方|日出时的浪漫
夕阳西下|夕阳时的浪漫
雨声潺潺|雨中的浪漫
雪花飘飘|雪中的浪漫
微风拂面|清风中的浪漫
花香四溢|花香中的浪漫
音乐悠扬|音乐中的浪漫
舞蹈轻盈|舞蹈中的浪漫
美酒佳肴|美食中的浪漫
书香气息|书香中的浪漫
咖啡醇香|咖啡中的浪漫
茶香清雅|茶香中的浪漫
红酒摇曳|红酒中的浪漫
香槟气泡|香槟中的浪漫
花瓣飘落|花瓣雨浪漫
彩霞满天|彩霞的浪漫
云雾缭绕|云雾中的浪漫
烟雾袅袅|烟雾中的浪漫
蒸汽弥漫|蒸汽中的浪漫
水雾弥漫|水雾中的浪漫
朦胧美|朦胧中的浪漫
半遮半掩|半遮半掩的浪漫
若隐若现|若隐若现的浪漫
欲拒还迎|欲拒还迎的浪漫
欲说还休|欲说还休的浪漫
娇羞|娇羞的浪漫
含苞待放|含苞待放的浪漫
怒放|热情绽放的浪漫
盛开|盛开的浪漫
绽放|绽放的浪漫
盛放|盛放的浪漫

[玩法幻想]
角色扮演|角色扮演幻想
Cosplay|Cosplay幻想
制服诱惑|制服幻想
女仆装|女仆装幻想
教师装|教师装幻想
护士装|护士装幻想
警服|警服幻想
医生装|医生装幻想
空姐装|空姐装幻想
OL装|OL装幻想
护士|护士幻想
女仆|女仆幻想
女警|女警幻想
教师|教师幻想
医生|医生幻想
空乘|空乘幻想
OL|OL幻想
总裁|总裁幻想
秘书|秘书幻想
学生|学生幻想
公主|公主幻想
女王|女王幻想
公主抱|公主抱幻想
背后抱|背后拥抱幻想
胸前抱|胸前拥抱幻想
举高高|举高高幻想
扛肩膀|扛肩膀幻想
公主背|公主背幻想
拥抱|拥抱幻想
接吻|接吻幻想
舌吻|深吻幻想
壁吻|壁吻幻想
咬唇|咬唇幻想
轻咬|轻咬幻想
吸吮|吸吮幻想
舔舐|舔舐幻想
抚摸|抚摸幻想
爱抚|爱抚幻想
轻抚|轻抚幻想
揉捏|揉捏幻想
挤压|挤压幻想
揉搓|揉搓幻想
按摩|按摩幻想
推拿|推拿幻想
SPA|SPA幻想
指交|指交幻想
指奸|指奸幻想
手淫|手淫幻想
打飞机|打飞机幻想
乳交|乳交幻想
乳压|乳压幻想
乳摩擦|乳摩擦幻想
乳摇|乳摇幻想
乳震|乳震幻想
奶酪|奶酪幻想
乳射|乳射幻想
口交|口交幻想
口爆|口爆幻想
颜射|颜射幻想
颜埋|颜埋幻想
面射|面射幻想
吞精|吞精幻想
吐精|吐精幻想
颜出|颜出幻想
颜洗|颜洗幻想
肛交|肛交幻想
后炮|后炮幻想
走后门|走后门幻想
爆菊|爆菊幻想
菊花|菊花幻想
足交|足交幻想
腿交|腿交幻想
股交|股交幻想
素股|素股幻想
手交|手交幻想
其他|其他幻想

[特殊幻想]
SM| SM幻想
主人|主人幻想
奴隶|奴隶幻想
调教|调教幻想
束缚|束缚幻想
捆绑|捆绑幻想
绳艺|绳艺幻想
吊绑|吊绑幻想
绳缚|绳缚幻想
紧缚|紧缚幻想
龟甲|龟甲幻想
乳胶|乳胶衣幻想
皮衣|皮衣幻想
胶衣|胶衣幻想
乳胶衣|乳胶衣幻想
紧身衣|紧身衣幻想
制服|制服幻想
军装|军装幻想
泳装|泳装幻想
比基尼|比基尼幻想
情趣内衣|情趣内衣幻想
透明装|透明装幻想
镂空|镂空装幻想
蕾丝|蕾丝幻想
吊带袜|吊带袜幻想
丝袜|丝袜幻想
网袜|网袜幻想
开裆裤|开裆裤幻想
脱衣|脱衣幻想
更衣|更衣幻想
换装|换装幻想
管家|管家幻想
宠物|宠物幻想
项圈|项圈幻想
牵引|牵引幻想
爬行|爬行幻想
汪汪|汪汪幻想
喵喵|喵喵幻想
宠物PLAY|宠物PLAY幻想
主人PLAY|主人PLAY幻想
奴隶PLAY|奴隶PLAY幻想
笼子|笼子幻想
狗笼|狗笼幻想
乳胶笼|乳胶笼幻想
贞操带|贞操带幻想
锁阴|锁阴幻想
锁精|锁精幻想
乳胶紧身衣|乳胶紧身衣幻想
口球|口球幻想
眼罩|眼罩幻想
手铐|手铐幻想
脚镣|脚镣幻想
锁链|锁链幻想
绳子|绳子幻想
布条|布条幻想
胶带|胶带幻想
丝带|丝带幻想
拍子|拍子幻想
皮鞭|皮鞭幻想
蜡烛|蜡烛幻想
低温蜡烛|低温蜡烛幻想
滴蜡|滴蜡幻想
针刺|针刺幻想
夹子|夹子幻想
乳夹|乳夹幻想
阴夹|阴夹幻想
舌夹|舌夹幻想
按摩棒|按摩棒幻想
跳蛋|跳蛋幻想
震动棒|震动棒幻想
按摩器|按摩器幻想
电击|电击幻想
拍打|拍打幻想
鞭打|鞭打幻想
抽打|抽打幻想
掌掴|掌掴幻想
打屁股|打屁股幻想
SP|SP幻想
dirty talk|dirty talk幻想
污言秽语|污言秽语幻想
dirty roleplay|dirty roleplay幻想
羞辱|羞辱幻想
臣服|臣服幻想
支配|支配幻想
S|M幻想
M|S幻想
调教师|调教师幻想
被调教|被调教幻想
言语羞辱|言语羞辱幻想
精神控制|精神控制幻想
催眠|催眠幻想
人偶|人偶幻想
娃娃|娃娃幻想
充气|充气幻想
硅胶|硅胶幻想
实体|实体幻想
玩具|玩具幻想
使用玩具|使用玩具幻想
自慰|自慰幻想
单独|单独幻想
双飞|双飞幻想
3P|3P幻想
4P|4P幻想
多P|多P幻想
NP|NP幻想
群交|群交幻想
交换|交换幻想
换妻|换妻幻想
换夫|换夫幻想
绿帽|绿帽幻想
戴绿|戴绿幻想
绿自己|绿自己幻想
被绿|被绿幻想
出轨|出轨幻想
偷情|偷情幻想
外遇|外遇幻想
偷腥|偷腥幻想
劈腿|劈腿幻想
脚踩两条船|脚踩两条船幻想
偷窥|偷窥幻想
窥视|窥视幻想
露出|露出幻想
暴露|暴露幻想
偷拍|偷拍幻想
被偷拍|被偷拍幻想
盗摄|盗摄幻想
偷录|偷录幻想
被偷录|被偷录幻想
直播|直播幻想
网黄|网黄幻想
福利姬|福利姬幻想
拍摄|拍摄幻想
被拍摄|被拍摄幻想
摄影|摄影幻想
模特|模特幻想
人体艺术|人体艺术幻想
人体摄影|人体摄影幻想
艺术照|艺术照幻想
写真|写真幻想
私房|私房幻想
自拍|自拍幻想
他拍|他拍幻想
抓拍|抓拍幻想
连拍|连拍幻想
视频|视频幻想
影片|影片幻想
小电影|小电影幻想
AV|AV幻想
番号|番号幻想
剧情|剧情幻想
剧情向|剧情向幻想
有剧情|有剧情幻想
无剧情|无剧情幻想

[情趣幻想]
调情|调情幻想
挑逗|挑逗幻想
撩拨|撩拨幻想
勾引|勾引幻想
诱惑|诱惑幻想
勾搭|勾搭幻想
放电|放电幻想
眉目传情|眉目传情幻想
暗送秋波|暗送秋波幻想
眉来眼去|眉来眼去幻想
打情骂俏|打情骂俏幻想
打情|打情幻想
骂俏|骂俏幻想
调笑|调笑幻想
逗趣|逗趣幻想
嬉戏|嬉戏幻想
玩耍|玩耍幻想
玩闹|玩闹幻想
胡闹|胡闹幻想
疯闹|疯闹幻想
荒唐|荒唐幻想
疯狂|疯狂幻想
放纵|放纵幻想
放肆|放肆幻想
恣意|恣意幻想
任意|任意幻想
随意|随意幻想
随便|随便幻想
随心|随心幻想
随机|随机幻想
乱来|乱来幻想
乱搞|乱搞幻想
胡搞|胡搞幻想
瞎搞|瞎搞幻想
乱交|乱交幻想
滥交|滥交幻想
杂交|杂交幻想
野合|野合幻想
野战|野战幻想
室外|室外幻想
野外|野外幻想
露天|露天幻想
公共场所|公共场所幻想
公共场合|公共场合幻想
隐蔽场所|隐蔽场所幻想
半公开|半公开幻想
偷偷摸摸|偷偷摸摸幻想
隐蔽|隐蔽幻想
秘密|秘密幻想
私密|私密幻想
暗处|暗处幻想
角落|角落幻想
旮旯|旮旯幻想
偏僻|偏僻幻想
无人|无人幻想
无人的|无人的幻想
没人的|没人的幻想
偏僻的|偏僻的幻想
隐蔽的|隐蔽的幻想
偷偷的|偷偷的幻想
悄悄的|悄悄的幻想
鬼鬼祟祟|鬼鬼祟祟幻想
隐蔽角落|隐蔽角落幻想
黑暗角落|黑暗角落幻想
光线昏暗|光线昏暗幻想
光线暗|光线暗幻想
看不清|看不清幻想
模糊|模糊幻想
朦胧|朦胧幻想
隐约|隐约幻想
隐隐约约|隐隐约约幻想
模模糊糊|模模糊糊幻想
昏昏暗暗|昏昏暗暗幻想
黑漆漆|黑漆漆幻想
黑洞洞|黑洞洞幻想
暗戳戳|暗戳戳幻想
阴暗|阴暗幻想
阴暗的|阴暗的幻想
暗室|暗室幻想
小黑屋|小黑屋幻想
密室|密室幻想
密闭|密闭幻想
封闭|封闭幻想
密封|密封幻想
狭小|狭小幻想
狭窄|狭窄幻想
小空间|小空间幻想
窄小|窄小幻想
拥挤|拥挤幻想
窄窄|窄窄幻想
小小的|小小的幻想
窄窄的|窄窄的幻想
小地方|小地方幻想
窄地方|窄地方幻想
夹缝|夹缝幻想
缝隙|缝隙幻想
墙角|墙角幻想
墙角落|墙角落幻想
门角落|门角落幻想
床角落|床角落幻想
角落旮旯|角落旮旯幻想

[梦境幻想]
春梦|春梦幻想
性梦|性梦幻想
旖旎梦|旖旎梦幻想
温柔梦|温柔梦幻想
浪漫梦|浪漫梦幻想
激情梦|激情梦幻想
热烈梦|热烈梦幻想
甜蜜梦|甜蜜梦幻想
美好梦|美好梦幻想
幸福梦|幸福梦幻想
温馨梦|温馨梦幻想
和谐梦|和谐梦幻想
销魂梦|销魂梦幻想
勾魂梦|勾魂梦幻想
迷人梦|迷人梦幻想
诱惑梦|诱惑梦幻想
魅力梦|魅力梦幻想
难忘梦|难忘梦幻想
刻骨铭心梦|刻骨铭心梦幻想
魂牵梦萦|魂牵梦萦幻想
朝思暮想|朝思暮想幻想
日思夜想|日思夜想幻想
昼思夜想|昼思夜想幻想
牵肠挂肚|牵肠挂肚幻想
念念不忘|念念不忘幻想
耿耿于怀|耿耿于怀幻想
回味无穷|回味无穷幻想
记忆深刻|记忆深刻幻想
历历在目|历历在目幻想
记忆犹新|记忆犹新幻想
印象深刻|印象深刻幻想
挥之不去|挥之不去幻想
难以忘怀|难以忘怀幻想
铭记于心|铭记于心幻想
刻骨铭心|刻骨铭心幻想
永生难忘|永生难忘幻想
终身难忘|终身难忘幻想
难忘今宵|难忘今宵幻想
今宵难忘|今宵难忘幻想
销魂时刻|销魂时刻幻想
销魂|销魂幻想
蚀骨|蚀骨幻想
销魂蚀骨|销魂蚀骨幻想
欲仙欲死|欲仙欲死幻想
欲死欲仙|欲死欲仙幻想
欲仙|欲仙幻想
欲死|欲死幻想
升天|升天幻想
羽化|羽化幻想
登仙|登仙幻想
成仙|成仙幻想
飞天|飞天幻想
升腾|升腾幻想
升华|升华幻想
极乐|极乐幻想
极乐世界|极乐世界幻想
欲海|欲海幻想
欲海沉浮|欲海沉浮幻想
欲海无涯|欲海无涯幻想
欲海无垠|欲海无垠幻想
欲海沉沦|欲海沉沦幻想
欲海浮沉|欲海浮沉幻想
欲海漂浮|欲海漂浮幻想

[幻想对象]
理想对象|理想对象幻想
完美情人|完美情人幻想
白马王子|白马王子幻想
梦中王子|梦中王子幻想
理想男友|理想男友幻想
完美男友|完美男友幻想
梦中男孩|梦中男孩幻想
小奶狗|小奶狗幻想
小狼狗|小狼狗幻想
成熟男性|成熟男性幻想
帅大叔|帅大叔幻想
帅哥哥|帅哥哥幻想
帅弟弟|帅弟弟幻想
帅学长|帅学长幻想
帅学弟|帅学弟幻想
帅老师|帅老师幻想
帅医生|帅医生幻想
帅护士|帅护士幻想
帅警察|帅警察幻想
帅军官|帅军官幻想
帅总裁|帅总裁幻想
帅老板|帅老板幻想
帅上司|帅上司幻想
帅同事|帅同事幻想
帅邻居|帅邻居幻想
帅陌生人|帅陌生人幻想
理想女友|理想女友幻想
完美女友|完美女友幻想
梦中女孩|梦中女孩幻想
梦中姑娘|梦中姑娘幻想
女朋友|女朋友幻想
老婆|老婆幻想
妻子|妻子幻想
娇妻|娇妻幻想
美人|美人幻想
美女|美女幻想
佳人|佳人幻想
姑娘|姑娘幻想
小姐|小姐幻想
女神|女神幻想
仙女|仙女幻想
小姐姐|小姐姐幻想
小妹妹|小妹妹幻想
小学妹|小学妹幻想
学妹|学妹幻想
学姐|学姐幻想
校花|校花幻想
班花|班花幻想
系花|系花幻想
院花|院花幻想
市花|市花幻想
校草|校草幻想
班草|班草幻想
草|草幻想
花|花幻想
红颜|红颜幻想
知己|知己幻想
伴侣|伴侣幻想
爱人|爱人幻想
恋人|恋人幻想
对象|对象幻想
另一半|另一半幻想
